Campaign Module
Test Case,Scenario,Detailed Result,Urls,Result

Date2023-02-01
Login Credentials,Login With Correct Username & Password,Login Successful,https://app.brandsignals.io//
Campaign Module,Click on Campaign Button,Successful,https://app.brandsignals.io/campaign/
Create Campaign,Click on Create Campaign Button,Successful,https://app.brandsignals.io/campaign/create/
Create Campaign,Click select Client,Successful,https://app.brandsignals.io/campaign/create/
Create Campaign,Check Special Characters are not allowed,Campaign name should be 100 characters and no special characters are allowed,https://app.brandsignals.io/campaign/create/
Create Campaign,Check 100 Characters limitation are not allowed,Campaign name should be 100 characters and no special characters are allowed,https://app.brandsignals.io/campaign/create/
Create Campaign,Enter Correct Campaign Name,Successful,https://app.brandsignals.io/campaign/create/
Create Campaign,Check GMB Cid limit,GMB CID should be less than 21 characters,https://app.brandsignals.io/campaign/create/
Create Campaign,Enter Correct GMB CID,This Business already exists and was created by Aimal_m18,https://app.brandsignals.io/campaign/create/
Create Campaign,Add keywords,Successful,https://app.brandsignals.io/campaign/create/
Create Campaign,Click on Submit for Analysis,Campaign Created Successfully,https://app.brandsignals.io/campaign/create/
In Analysis,Click on In Analysis Button,Successful,https://app.brandsignals.io/campaign/
Search Campaign,Search Created Campaign in "IN Analysis Tab",Aimalraza054,https://app.brandsignals.io/campaign/
Analysis Completed,Click on Analysis Button,Successful,https://app.brandsignals.io/campaign/
Search Campaign,Search Created Campaign in "Analysis Completed Tab",Aimalraza054,https://app.brandsignals.io/campaign/
Edit Campign,Click on Edit Campign in "Analaysis Completed",Successful,https://app.brandsignals.io/campaign/edit/16429
Edit Campign,Check Special Characters while editing Campaign,Campaign name should be 100 characters and no special characters are allowed,https://app.brandsignals.io/campaign/edit/16429
Edit Campaign,Check 100 Characters limitation while editing Campaign,Campaign name should be 100 characters and no special characters are allowed,https://app.brandsignals.io/campaign/edit/16429
Edit Campaign,Enter Correct Campaign Name,Successful,https://app.brandsignals.io/campaign/edit/16429
Edit Campaign,Click On Update Bussiness,Bussiness Updated Successfully!,https://app.brandsignals.io/campaign/edit/16429
Edit Campaign,Remove Keyword,Successful,https://app.brandsignals.io/campaign/edit/16429
Edit Campaign,Add New Keyword,Successful,https://app.brandsignals.io/campaign/edit/16429
Edit Campaign,Hit Resubmit for analysis,Campaign Updated Successfully!,https://app.brandsignals.io/campaign/edit/16429
Campaign Module,Click on Campaign Button,Successful,https://app.brandsignals.io/campaign/
In Analysis,Click on In Analysis Button,Successful,https://app.brandsignals.io/campaign/
Search Campaign,Search Created Campaign in "IN Analysis Tab",,https://app.brandsignals.io/campaign/
